"genusspecies","sprecords","num_eras","num_grids","distinct_site.x.interval","Genus","Subfamily","LarvalGuild","RangeSize","BodySize","rothole","introduced","RecentTrend","HistoricTrend","RecentEstimate","HistoricEstimate"
"Sphegina keeniana",106,4,36,45,"Sphegina","Eristalinae","Saprophagous",170,NA,"Other",NA,"WeakSupport","WeakSupport","-0.329 [-0.683, 0.056]","-0.225 [-0.636, 0.204]"
"Sphegina lobata",76,4,25,40,"Sphegina","Eristalinae","Saprophagous",254,NA,"Other",NA,"WeakSupport","WeakSupport","-0.126 [-0.538, 0.238]","0.037 [-0.436, 0.537]"
"Sphegina petiolata",55,4,30,40,"Sphegina","Eristalinae","Saprophagous",493,NA,"Other",NA,"WeakSupport","WeakSupport","-0.253 [-0.712, 0.216]","-0.169 [-0.658, 0.322]"
"Sphegina rufiventris",412,4,64,87,"Sphegina","Eristalinae","Saprophagous",340,NA,"Other",NA,"WeakSupport","WeakSupport","-0.096 [-0.399, 0.161]","0.007 [-0.32, 0.324]"
"Sphiximorpha (Ceriana) willistoni",113,4,25,36,"Sphiximorpha","Eristalinae","Saprophagous",257,NA,"Other",NA,"WeakSupport","WeakSupport","0.024 [-0.487, 0.589]","0.499 [-0.312, 1.47]"
"Spilomyia alcimus",70,4,37,45,"Spilomyia","Eristalinae","Saprophagous",438,NA,"Rothole Specialist",NA,"WeakSupport","WeakSupport","0.369 [-0.186, 1.147]","0.369 [-0.086, 0.971]"
"Spilomyia foxleei",80,4,18,33,"Spilomyia","Eristalinae","Saprophagous",112,NA,"Rothole Specialist",NA,"WeakSupport","WeakSupport","-0.43 [-0.87, 0.065]","-0.29 [-0.859, 0.283]"
"Spilomyia fusca",313,4,75,133,"Spilomyia","Eristalinae","Saprophagous",309,16.35,"Rothole Specialist","no","Increase","Increase","1.124 [0.205, 2.188]","1.154 [0.376, 2.102]"
"Spilomyia liturata",60,4,22,33,"Spilomyia","Eristalinae","Saprophagous",140,NA,"Rothole Specialist",NA,"WeakSupport","WeakSupport","0.027 [-0.689, 0.785]","0.538 [-0.495, 1.784]"
"Spilomyia longicornis",246,4,51,94,"Spilomyia","Eristalinae","Saprophagous",331,NA,"Rothole Specialist",NA,"WeakSupport","WeakSupport","0.192 [-0.171, 0.685]","0.36 [-0.065, 0.878]"
"Spilomyia sayi",429,4,80,165,"Spilomyia","Eristalinae","Saprophagous",648,13.5,"Rothole Specialist","no","Increase","Increase","0.767 [0.127, 1.561]","0.825 [0.25, 1.495]"
"Syritta pipiens",2297,4,232,515,"Syritta","Eristalinae","Saprophagous",1502,8,"Other","yes","WeakSupport","Increase","0.219 [-0.006, 0.479]","0.241 [0.032, 0.471]"
"Syrphus attenuatus",179,4,53,64,"Syrphus","Syrphinae","Predator",1227,NA,"Other",NA,"WeakSupport","WeakSupport","-0.201 [-0.592, 0.204]","0.046 [-0.508, 0.631]"
"Syrphus knabi",134,4,41,59,"Syrphus","Syrphinae","Predator",380,NA,"Other",NA,"WeakSupport","WeakSupport","-0.088 [-0.473, 0.266]","-0.007 [-0.394, 0.356]"
"Syrphus opinator",1425,4,112,274,"Syrphus","Syrphinae","Predator",902,NA,"Other",NA,"WeakSupport","WeakSupport","0.203 [-0.127, 0.573]","0.185 [-0.089, 0.481]"
"Syrphus rectus (transversalis)",643,4,102,182,"Syrphus","Syrphinae","Predator",794,NA,"Other",NA,"WeakSupport","WeakSupport","-0.067 [-0.295, 0.128]","0.1 [-0.2, 0.414]"
"Syrphus ribesii (bigelowi)",3337,4,350,646,"Syrphus","Syrphinae","Predator",1882,NA,"Other",NA,"WeakSupport","WeakSupport","-0.071 [-0.209, 0.048]","-0.003 [-0.155, 0.146]"
"Syrphus torvus",2278,4,223,395,"Syrphus","Syrphinae","Predator",1778,10.95,"Other","no","Decline","Decline","-0.343 [-0.496, -0.185]","-0.288 [-0.456, -0.108]"
"Syrphus vitripennis",1000,4,180,267,"Syrphus","Syrphinae","Predator",1834,NA,"Other",NA,"WeakSupport","WeakSupport","0.01 [-0.217, 0.26]","0.054 [-0.171, 0.287]"
"Temnostoma alternans",862,4,121,232,"Temnostoma","Eristalinae","Saprophagous",1052,NA,"Other",NA,"WeakSupport","WeakSupport","0.013 [-0.247, 0.272]","0.202 [-0.099, 0.554]"
"Temnostoma balyras",640,4,96,180,"Temnostoma","Eristalinae","Saprophagous",457,10,"Other","no","Decline","WeakSupport","-0.315 [-0.529, -0.086]","-0.153 [-0.438, 0.148]"
"Temnostoma barberi",492,4,89,159,"Temnostoma","Eristalinae","Saprophagous",690,NA,"Other",NA,"WeakSupport","WeakSupport","-0.128 [-0.393, 0.101]","0.003 [-0.314, 0.287]"
"Temnostoma daochus",135,4,26,47,"Temnostoma","Eristalinae","Saprophagous",251,NA,"Other",NA,"WeakSupport","WeakSupport","-0.362 [-0.768, 0.124]","-0.233 [-0.726, 0.335]"
"Temnostoma excentrica (vespiforme)",715,4,171,293,"Temnostoma","Eristalinae","Saprophagous",1512,NA,"Other",NA,"WeakSupport","WeakSupport","0.059 [-0.114, 0.257]","0.183 [-0.029, 0.43]"
"Temnostoma obscurum",52,4,36,40,"Temnostoma","Eristalinae","Saprophagous",1009,NA,"Other",NA,"WeakSupport","WeakSupport","-0.342 [-0.765, 0.114]","0.04 [-0.623, 0.842]"
"Temnostoma trifasciatum",126,4,23,44,"Temnostoma","Eristalinae","Saprophagous",206,NA,"Other",NA,"WeakSupport","WeakSupport","-0.117 [-0.668, 0.453]","0.054 [-0.583, 0.7]"
"Teuchocnemis lituratus",88,4,32,45,"Teuchocnemis","Eristalinae","Unknown",212,NA,"Other",NA,"WeakSupport","WeakSupport","-0.001 [-0.401, 0.398]","0.141 [-0.307, 0.597]"
"Toxomerus geminatus",3577,4,167,364,"Toxomerus","Syrphinae","Predator",1154,6.85,"Other","no","Increase","Increase","0.918 [0.45, 1.451]","1.827 [0.951, 2.75]"
"Toxomerus marginatus",7722,4,322,656,"Toxomerus","Syrphinae","Predator",1502,5.3,"Other","no","Increase","Increase","0.48 [0.243, 0.732]","0.799 [0.434, 1.2]"
"Toxomerus occidentalis",675,4,46,124,"Toxomerus","Syrphinae","Predator",173,NA,"Other",NA,"WeakSupport","WeakSupport","0.008 [-0.249, 0.241]","0.054 [-0.179, 0.265]"
"Toxomerus politus",236,4,58,79,"Toxomerus","Syrphinae","Predator",608,NA,"Other",NA,"WeakSupport","WeakSupport","0.618 [-0.199, 1.604]","0.081 [-0.306, 0.454]"
"Trichopsomyia apisaon",360,4,84,119,"Trichopsomyia","Pipizinae","Predator",1563,NA,"Other",NA,"WeakSupport","WeakSupport","-0.142 [-0.476, 0.181]","-0.025 [-0.412, 0.336]"
"Tropidia albistylum",58,4,27,38,"Tropidia","Eristalinae","Saprophagous",235,NA,"Other",NA,"WeakSupport","WeakSupport","-0.016 [-0.497, 0.44]","0.084 [-0.408, 0.554]"
"Tropidia quadrata",577,4,114,189,"Tropidia","Eristalinae","Saprophagous",993,NA,"Other",NA,"WeakSupport","WeakSupport","-0.062 [-0.341, 0.202]","-0.034 [-0.294, 0.198]"
"Volucella arctica",252,4,54,73,"Volucella","Eristalinae","BroodParasite",1073,NA,"Other",NA,"WeakSupport","WeakSupport","-0.342 [-0.683, 0.049]","-0.006 [-0.56, 0.638]"
"Volucella evecta",228,4,54,104,"Volucella","Eristalinae","BroodParasite",410,15.25,"Other","no","WeakSupport","Decline","-0.307 [-0.708, 0.149]","-0.526 [-0.748, -0.298]"
"Volucella facialis (lateralis,rufomaculata)",573,4,184,272,"Volucella","Eristalinae","BroodParasite",1676,12,"Other","no","Decline","Decline","-0.343 [-0.534, -0.153]","-0.293 [-0.487, -0.083]"
"Xanthogramma (Philhelius) flavipes",305,4,58,108,"Xanthogramma","Syrphinae","Predator",278,NA,"Other",NA,"WeakSupport","WeakSupport","-0.015 [-0.267, 0.234]","0.088 [-0.179, 0.384]"
"Xylota angustiventris",85,4,29,47,"Xylota","Eristalinae","Saprophagous",186,NA,"Other",NA,"WeakSupport","WeakSupport","-0.268 [-0.667, 0.126]","-0.167 [-0.626, 0.254]"
"Xylota annulifera",307,4,52,63,"Xylota","Eristalinae","Saprophagous",383,NA,"Other",NA,"WeakSupport","WeakSupport","0.167 [-0.184, 0.661]","0.291 [-0.103, 0.779]"
"Xylota barbata",200,4,37,63,"Xylota","Eristalinae","Saprophagous",361,NA,"Other",NA,"WeakSupport","WeakSupport","-0.215 [-0.711, 0.279]","-0.088 [-0.651, 0.458]"
"Xylota confusa",140,4,46,54,"Xylota","Eristalinae","Saprophagous",518,NA,"Other",NA,"WeakSupport","WeakSupport","0.466 [-0.212, 1.394]","0.572 [-0.059, 1.388]"
"Xylota flavifrons",91,4,37,39,"Xylota","Eristalinae","Saprophagous",1359,NA,"Other",NA,"WeakSupport","WeakSupport","-0.105 [-0.667, 0.475]","-0.09 [-0.597, 0.39]"
"Xylota flavitibia",187,4,57,74,"Xylota","Eristalinae","Saprophagous",1274,12.75,"Other","no","Decline","Decline","-0.583 [-0.831, -0.306]","-0.45 [-0.778, -0.076]"
"Xylota hinei",123,4,59,68,"Xylota","Eristalinae","Saprophagous",828,NA,"Other",NA,"WeakSupport","WeakSupport","0.318 [-0.156, 1.038]","0.379 [-0.052, 0.984]"
"Xylota naknek (atlantica)",228,4,64,75,"Xylota","Eristalinae","Saprophagous",1263,NA,"Other",NA,"WeakSupport","WeakSupport","-0.036 [-0.385, 0.292]","0.114 [-0.319, 0.528]"
"Xylota quadrimaculata (artemita)",777,4,94,144,"Xylota","Eristalinae","Saprophagous",989,NA,"Other",NA,"WeakSupport","WeakSupport","0.082 [-0.133, 0.338]","0.292 [-0.038, 0.717]"
"Xylota subfasciata",578,4,100,121,"Xylota","Eristalinae","Saprophagous",1522,NA,"Other",NA,"WeakSupport","WeakSupport","0.132 [-0.239, 0.589]","0.277 [-0.149, 0.786]"
"Xylota wellesleyana",134,4,13,20,"Xylota","Eristalinae","Saprophagous",124,NA,"Other",NA,"WeakSupport","WeakSupport","-0.223 [-0.84, 0.487]","-0.111 [-0.78, 0.633]"
